policy_id,regime_v357,seed_pair_rank_v357,seed_added_loan_id_v357,seed_dropped_loan_id_v357,second_added_loan_id_v357,second_dropped_loan_id_v357,action_signature_v357,seed_return_delta_v357,return_delta_v357,objective_return_after_two_swap_v357,exposure_after_two_swap_v357,loss_mean_after_two_swap_v357,cvar90_after_two_swap_v357,source_min_slack_after_two_swap_v357,max_source_share_after_two_swap_v357,source_cap_violations_after_two_swap_v357,first_source_block_family_v357,first_source_block_id_v357,cvar_two_swap_feasible_v357,two_add_two_drop_entering_column_v357,claim_boundary_v357
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,156730408,144603743,add=156730408|161455148;drop=144603743|159706782,2.2203513257361465,0.4147901484904537,4427.55290267013,843775.0,60249.78130277524,96541.1879952774,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,4,161494495,159706782,163545352,127648167,add=161494495|163545352;drop=127648167|159706782,0.6418503361315686,0.37346971827300024,4427.511582239912,843775.0,60264.96304439012,96560.14661235645,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,158764455,164875488,add=158764455|161983601;drop=148128009|164875488,1.002428012871739,0.3728617623463748,4427.510974283986,843775.0,60188.81409618004,96528.48225743361,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,136360475,127648167,add=136360475|161455148;drop=127648167|159706782,2.2203513257361465,0.34753760576951365,4427.485650127409,843775.0,60249.40539237333,96534.04540472355,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,5,147190807,148128009,163545352,127648167,add=147190807|163545352;drop=127648167|148128009,0.6058737779056216,0.3374931600470532,4427.475605681687,843775.0,60134.51814947717,96440.25465913869,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,6,144038628,159706782,161983601,139234645,add=144038628|161983601;drop=139234645|159706782,0.4592545995868704,0.3243068953270978,4427.462419416966,843775.0,60196.72015825297,96532.31797989266,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,3,161983601,148128009,151083962,127648167,add=151083962|161983601;drop=127648167|148128009,1.002428012871739,0.31579176645490037,4427.453904288094,843775.0,60138.753488859526,96447.40279283466,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,2,145977956,164875488,153611978,148128009,add=145977956|153611978;drop=148128009|164875488,1.8757778281410395,0.3107760324711677,4427.44888855411,843675.0,60146.72605197219,96457.51518898856,2.2005637775102116e-05,0.899872581266483,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,140423185,146052690,add=140423185|161455148;drop=146052690|159706782,2.2203513257361465,0.30718047001900217,4427.445292991659,843775.0,60246.391387574324,96518.85697265813,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
v357_v353_bounded_branch_price_loop,post_v353_seeded_two_add_two_drop,1,161455148,159706782,134472371,148128009,add=134472371|161455148;drop=148128009|159706782,2.2203513257361465,0.3022931985175532,4427.440405720157,843775.0,60275.779503154234,96559.87751231491,4.597308456477656e-06,0.8998844478682113,0,,,False,False,bounded post-v353 second-order branch-price row; no dual-bound certificate
