policy_id,frontier_family,realized_return_proxy_lgd45,net_return_after_contractual_ecl_v4,regret_gross_v4,regret_net_ifrs9_v4,auditability_score_v4,online_min,mdcp_worst,max_proxy_gap_v4,pareto_candidate_v4
paper4_v4_local_rt0p1775_g0p400_u0p000,CRPTO local v4,172888.58249999856,76348.44136264252,5159.520107252814,9936.256465437546,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1750_g0p400_u0p025,CRPTO local v4,172778.21250000078,76337.14445881256,5269.890107250598,9947.553369267509,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p400_u0p025,CRPTO local v4,172778.21250000078,76337.14445881256,5269.890107250598,9947.553369267509,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1750_g0p400_u0p050,CRPTO local v4,172767.23249999774,76335.87832641114,5280.870107253635,9948.819501668928,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p400_u0p050,CRPTO local v4,172767.23249999774,76335.87832641114,5280.870107253635,9948.819501668928,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1750_g0p400_u0p075,CRPTO local v4,172765.31250000416,76335.64323364623,5282.790107247216,9949.054594433837,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p400_u0p075,CRPTO local v4,172765.31250000416,76335.64323364623,5282.790107247216,9949.054594433837,0.8922331902296551,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1750_g0p400_u0p100,CRPTO local v4,172708.2425000014,76327.36817265413,5339.860107249988,9957.329655425943,0.8921980055098764,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1775_g0p400_u0p100,CRPTO local v4,172708.2425000014,76327.36817265413,5339.860107249988,9957.329655425943,0.8921980055098764,0.8846153846153846,0.8333333333333334,0.2614521669092603,False
paper4_v4_local_rt0p1700_g0p500_u0p100,CRPTO local v4,171334.7083294575,85192.07776628624,6713.394277793879,1092.6200617938302,0.89193323270141,0.9090909090909091,0.8,0.25976939257924503,False
paper4_v4_local_rt0p1725_g0p500_u0p050,CRPTO local v4,170470.1542228465,83169.35602944835,7577.948384404881,3115.3417986317218,0.8864145434026487,0.9090909090909091,0.7777777777777778,0.2622085799622976,False
paper4_v4_local_rt0p1725_g0p500_u0p075,CRPTO local v4,171175.733195865,83895.00855025215,6872.369411386375,2389.6892778279143,0.8862144254383749,0.9090909090909091,0.7777777777777778,0.26376739357874524,False
paper4_v4_local_rt0p1700_g0p500_u0p075,CRPTO local v4,170021.31140035065,83946.89858892943,8026.791206900729,2337.7992391506414,0.8862144254383749,0.9090909090909091,0.7777777777777778,0.26376739357874524,False
paper4_v4_local_rt0p1700_g0p500_u0p050,CRPTO local v4,169315.7324273321,83210.62554587546,8732.370179919264,3074.072282204608,0.886178510451262,0.9090909090909091,0.7777777777777778,0.26355612894866964,False
paper4_v4_local_rt0p1700_g0p475_u0p050,CRPTO local v4,171238.32441542228,83037.80210931068,6809.7781918291,3246.8957187693886,0.8861421741739778,0.9090909090909091,0.7777777777777778,0.26334238614111505,False
paper4_v4_local_rt0p1700_g0p475_u0p075,CRPTO local v4,173262.65358311104,85083.69216836465,4785.44902414034,1201.005659715418,0.8860986881372829,0.9047619047619048,0.7777777777777778,0.26198758173028347,False
paper4_v4_local_rt0p1750_g0p500_u0p050,CRPTO local v4,173047.1409540687,84485.53178533626,5000.9616531826905,1799.1660427438037,0.8860668683918409,0.9047619047619048,0.7777777777777778,0.26176398351906927,False
paper4_v4_local_rt0p1725_g0p475_u0p050,CRPTO local v4,174654.63169441232,85148.34376185221,3393.470912839053,1136.3540662278538,0.886034672081364,0.9047619047619048,0.7777777777777778,0.26153773917517786,False
paper4_v4_local_rt0p1775_g0p500_u0p100,CRPTO local v4,175874.51929404918,86110.30067767121,2173.5833132021944,174.39715040885494,0.8812466069539324,0.9047619047619048,0.75,0.2647051599896575,False
paper4_v4_local_rt0p1725_g0p475_u0p100,CRPTO local v4,175568.70111044557,86065.70840086664,2479.4014968058036,218.9894272134261,0.8812466069539324,0.9047619047619048,0.75,0.2647051599896575,False
paper4_v4_local_rt0p1700_g0p500_u0p000,CRPTO local v4,169603.6655613019,83493.06771776674,8444.437045949482,2791.63011031333,0.8804229413354652,0.9090909090909091,0.75,0.2651155567064837,False
paper4_v4_local_rt0p1725_g0p500_u0p000,CRPTO local v4,170271.60980569513,83049.93377138027,7776.492801556247,3234.7640566998016,0.8802620942072565,0.9090909090909091,0.75,0.2668580672620765,False
paper4_v4_local_rt0p1750_g0p500_u0p000,CRPTO local v4,171426.0316012095,82956.17878543916,6622.071006041864,3328.51904264091,0.8802240872741237,0.9090909090909091,0.75,0.266665944303383,False
paper4_v4_local_rt0p1700_g0p475_u0p025,CRPTO local v4,171111.0652649821,82985.20544650212,6937.037342269265,3299.4923815779475,0.8802240872741237,0.9090909090909091,0.75,0.266665944303383,False
paper4_v4_local_rt0p1725_g0p475_u0p025,CRPTO local v4,174336.04133148165,84904.41588655314,3712.0612757697236,1380.2819415269332,0.8801045360904993,0.9047619047619048,0.75,0.2649115583384707,False
paper4_v4_local_rt0p1725_g0p500_u0p025,CRPTO local v4,170912.12833081698,83618.45336003554,7135.974276434397,2666.2444680445333,0.8800263826582235,0.9090909090909091,0.75,0.26820737012226536,False
paper4_v4_local_rt0p1750_g0p500_u0p025,CRPTO local v4,173158.21762633137,84603.73168021566,4889.884980920004,1680.966147864412,0.8799029266246579,0.9047619047619048,0.75,0.26647158084371336,False
paper4_v4_local_rt0p1725_g0p475_u0p000,CRPTO local v4,172955.2559129311,83496.35860056663,5092.846694320266,2788.3392275134393,0.8796659395992712,0.9047619047619048,0.75,0.2678355349466578,False
paper4_v4_local_rt0p1700_g0p450_u0p100,CRPTO local v4,176079.05689101736,85738.34791086754,1969.0457162340172,546.3499172125303,0.8794691349031651,0.9,0.75,0.26607597380190806,False
paper4_v4_local_rt0p1750_g0p475_u0p100,CRPTO local v4,176000.83712850034,85417.18918739194,2047.26547875104,867.508640688131,0.8794691349031651,0.9,0.75,0.26607597380190806,False
paper4_v4_local_rt0p1775_g0p500_u0p075,CRPTO local v4,175710.54583156918,85943.52301221182,2337.5567756821983,341.1748158682458,0.8794691349031651,0.9,0.75,0.26607597380190806,False
paper4_v4_local_rt0p1700_g0p475_u0p000,CRPTO local v4,171759.67280928153,83575.88861853875,6288.429797969846,2708.809209541316,0.8794656088404014,0.9047619047619048,0.75,0.2693870327387571,False
paper4_v4_local_rt0p1700_g0p500_u0p025,CRPTO local v4,169886.8565354871,83769.8849884663,8161.246071764268,2514.8128396137618,0.8794656088404014,0.9047619047619048,0.75,0.2693870327387571,False
paper4_v4_local_rt0p1700_g0p450_u0p025,CRPTO local v4,174998.43361126567,84537.31167600043,3049.668995985703,1747.3861520796345,0.8792648142368455,0.9,0.75,0.2676463364602457,False
paper4_v4_local_rt0p1750_g0p475_u0p075,CRPTO local v4,175922.94500093377,85329.26026048728,2125.1576063176035,955.4375675927877,0.8792308775852619,0.9,0.75,0.2674548989384914,False
paper4_v4_local_rt0p1700_g0p450_u0p075,CRPTO local v4,175657.95308946318,85298.99699760693,2390.1495177882025,985.7008304731426,0.8792308775852619,0.9,0.75,0.2674548989384914,False
paper4_v4_local_rt0p1750_g0p475_u0p050,CRPTO local v4,175855.8428434938,85249.96980012638,2192.259763757582,1034.7280279536935,0.8791965369259211,0.9,0.75,0.26726118239862107,False
