policy_id,loan_id,issue_month,loan_amnt,funded_exposure,surrogate_score_v8,pd_high_alpha01,qhat_v4,weak_source_proxy,realized_return_proxy_lgd45
v8_dfl_surrogate_w0p02_s0p06_e0p20,149077131,2019-04-01,40000.0,40000.0,1281.0096180760713,0.14560681191071068,0.8436816790555313,0.3333333333333333,4408.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,126786999,2018-01-01,40000.0,40000.0,1275.9549613204974,0.14560681191071068,0.55,0.3333333333333333,4168.0
v8_dfl_surrogate_w0p02_s0p06_e0p20,165180139,2020-01-01,31575.0,31575.0,1264.9848452234507,0.1839309243202601,0.8436816790555313,0.3333333333333333,-14208.75
v8_dfl_surrogate_w0p02_s0p06_e0p20,144018090,2018-11-01,11450.0,11450.0,1264.8520900998572,0.2222387509610818,0.8436816790555313,0.6666666666666666,2679.2999999999997
v8_dfl_surrogate_w0p02_s0p06_e0p20,147026022,2019-01-01,37850.0,37850.0,1262.4908715857355,0.1504443713101714,0.8436816790555313,0.3333333333333333,4280.835
v8_dfl_surrogate_w0p02_s0p06_e0p45,150670796,2019-04-01,30000.0,30000.0,1420.410461961657,0.11999851469006251,0.8436816790555313,0.3333333333333333,3924.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,157501355,2019-08-01,40000.0,40000.0,1365.2046848091009,0.1504443713101714,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,158608870,2019-09-01,35000.0,35000.0,1268.5565939181395,0.14560681191071068,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,149046773,2019-04-01,35000.0,35000.0,1222.0489697545822,0.10088732097181267,0.8436816790555313,0.3333333333333333,3856.9999999999995
v8_dfl_surrogate_w0p02_s0p06_e0p45,140978428,2018-10-01,8500.0,8500.0,1182.2555644001216,0.1888440017299619,0.8436816790555313,0.6666666666666666,2317.95
v8_dfl_surrogate_w0p02_s0p06_e0p45,135254477,2018-07-01,35000.0,35000.0,1105.6111475299124,0.1888440017299619,0.8436816790555313,0.3333333333333333,5082.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,145082939,2018-12-01,35000.0,35000.0,1084.0693201786821,0.10310586199790928,0.8436816790555313,0.3333333333333333,3752.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,150606866,2019-04-01,40000.0,40000.0,1082.9363659184933,0.10310586199790928,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,168744464,2020-04-01,15000.0,15000.0,1068.2429807106773,0.2222387509610818,0.8311503416856492,0.3333333333333333,2992.4999999999995
v8_dfl_surrogate_w0p02_s0p06_e0p45,143477132,2018-11-01,40000.0,40000.0,1059.6300591735185,0.03672906242751414,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,147304886,2019-02-01,19600.0,19600.0,1049.1902955564592,0.1504443713101714,0.8436816790555313,0.3333333333333333,2943.92
v8_dfl_surrogate_w0p02_s0p06_e0p45,127016013,2018-01-01,35150.0,35150.0,1017.4885519269144,0.10310586199790928,0.55,0.3333333333333333,3490.395
v8_dfl_surrogate_w0p02_s0p06_e0p45,156829766,2019-08-01,28875.0,28875.0,980.9821891474118,0.10310586199790928,0.8436816790555313,0.3333333333333333,3182.0249999999996
v8_dfl_surrogate_w0p02_s0p06_e0p45,128154080,2018-02-01,35000.0,35000.0,979.069320178682,0.10310586199790928,0.8436816790555313,0.3333333333333333,-15750.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,133102867,2018-05-01,40000.0,40000.0,978.9363659184932,0.10310586199790928,0.8436816790555313,0.3333333333333333,-18000.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,144018090,2018-11-01,11450.0,11450.0,978.5807990181137,0.2222387509610818,0.8436816790555313,0.6666666666666666,2679.2999999999997
v8_dfl_surrogate_w0p02_s0p06_e0p45,138962816,2018-08-01,40000.0,40000.0,966.1760169599713,0.16519382061810706,0.8436816790555313,0.3333333333333333,5092.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,127164594,2018-01-01,40000.0,40000.0,961.8817091629179,0.10310586199790928,0.55,0.3333333333333333,3776.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,149445142,2019-04-01,32825.0,32825.0,898.9444477464696,0.03437983267750509,0.8436816790555313,0.3333333333333333,2481.57
v8_dfl_surrogate_w0p02_s0p06_e0p45,166275730,2020-02-01,30000.0,30000.0,892.6331586628924,0.12959865275371413,0.8311503416856492,0.3333333333333333,3513.0000000000005
v8_dfl_surrogate_w0p02_s0p06_e0p45,131106023,2018-04-01,39200.0,39200.0,875.2348887429112,0.05746866290426758,0.8436816790555313,0.3333333333333333,3120.32
v8_dfl_surrogate_w0p02_s0p06_e0p45,165418646,2020-01-01,40000.0,40000.0,873.6317520601583,0.04866837354205124,0.8436816790555313,0.3333333333333333,3024.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,145133997,2018-12-01,13800.0,13800.0,863.9326038708429,0.12959865275371413,0.8436816790555313,0.3333333333333333,2072.76
v8_dfl_surrogate_w0p02_s0p06_e0p45,138064898,2018-08-01,35000.0,35000.0,845.9721306297761,0.1839309243202601,0.8436816790555313,0.3333333333333333,4746.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,152301616,2019-06-01,23575.0,23575.0,800.9231206632119,0.10310586199790928,0.8436816790555313,0.3333333333333333,-10608.75
v8_dfl_surrogate_w0p02_s0p06_e0p45,155647069,2019-07-01,40000.0,40000.0,793.8806159488764,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,145967287,2019-01-01,40000.0,40000.0,793.8806159488764,0.11999851469006251,0.8436816790555313,0.3333333333333333,4132.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,127639635,2018-02-01,28175.0,28175.0,788.1508027438388,0.10310586199790928,0.8436816790555313,0.3333333333333333,2935.835
v8_dfl_surrogate_w0p02_s0p06_e0p45,126793501,2018-01-01,35000.0,35000.0,786.7105909533277,0.12959865275371413,0.55,0.3333333333333333,3647.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,160296143,2019-10-01,8000.0,8000.0,752.9806301968989,0.1383133853899916,0.8436816790555313,0.6666666666666666,1644.0000000000002
v8_dfl_surrogate_w0p02_s0p06_e0p45,144238649,2018-12-01,40000.0,40000.0,741.7789644778743,0.14560681191071068,0.8436816790555313,0.3333333333333333,4524.0
v8_dfl_surrogate_w0p02_s0p06_e0p45,145471755,2018-12-01,20000.0,20000.0,737.4681829592466,0.10310586199790928,0.8436816790555313,0.3333333333333333,2262.0
v8_dfl_surrogate_w0p02_s0p06_e0p70,150670796,2019-04-01,30000.0,30000.0,1015.4154748826961,0.11999851469006251,0.8436816790555313,0.3333333333333333,3924.0
