policy_id,scenario,n_funded,funded_exposure,contractual_ecl_v4,realized_return_proxy_lgd45,stage1_share,stage2_share,stage3_share,actual_default_status_share,net_return_after_contractual_ecl_v4
paper4_v4_local_rt0p1725_g0p450_u0p050,severe,338,1000000.0,330816.3526096175,176702.59108533437,0.0,1.0,0.0,0.0,-154113.76152428315
paper4_v4_local_rt0p1725_g0p450_u0p075,adverse,337,1000000.0,310061.5787324843,176822.00543080448,0.0,1.0,0.0,0.0,-133239.57330167983
paper4_v4_local_rt0p1725_g0p450_u0p075,baseline,337,1000000.0,91481.04910672987,176822.00543080448,0.0,1.0,0.0,0.0,85340.9563240746
paper4_v4_local_rt0p1725_g0p450_u0p075,optimistic,337,1000000.0,26811.86019373839,176822.00543080448,0.7299703264094956,0.27002967359050445,0.0,0.0,150010.14523706608
paper4_v4_local_rt0p1725_g0p450_u0p075,severe,337,1000000.0,329956.30086171837,176822.00543080448,0.0,1.0,0.0,0.0,-153134.2954309139
paper4_v4_local_rt0p1725_g0p450_u0p100,adverse,337,1000000.0,310333.60911274015,176892.4809693785,0.0,1.0,0.0,0.0,-133441.12814336165
paper4_v4_local_rt0p1725_g0p450_u0p100,baseline,337,1000000.0,91473.13709048531,176892.4809693785,0.0,1.0,0.0,0.0,85419.34387889318
paper4_v4_local_rt0p1725_g0p450_u0p100,optimistic,337,1000000.0,26744.775955322402,176892.4809693785,0.7299703264094956,0.27002967359050445,0.0,0.0,150147.7050140561
paper4_v4_local_rt0p1725_g0p450_u0p100,severe,337,1000000.0,330297.4481764332,176892.4809693785,0.0,1.0,0.0,0.0,-153404.96720705472
paper4_v4_local_rt0p1725_g0p475_u0p000,adverse,342,1000000.0,305336.7250403653,172955.25591293114,0.0,1.0,0.0,0.0,-132381.46912743416
paper4_v4_local_rt0p1725_g0p475_u0p000,baseline,342,1000000.0,89458.89731236451,172955.25591293114,0.0,1.0,0.0,0.0,83496.35860056663
paper4_v4_local_rt0p1725_g0p475_u0p000,optimistic,342,1000000.0,25957.51402413967,172955.25591293114,0.7309941520467836,0.26900584795321636,0.0,0.0,146997.74188879147
paper4_v4_local_rt0p1725_g0p475_u0p000,severe,342,1000000.0,325112.9245580446,172955.25591293114,0.0,1.0,0.0,0.0,-152157.66864511344
paper4_v4_local_rt0p1725_g0p475_u0p025,adverse,342,1000000.0,305620.033301215,174336.04133148163,0.0,1.0,0.0,0.0,-131283.99196973335
paper4_v4_local_rt0p1725_g0p475_u0p025,baseline,342,1000000.0,89431.62544492849,174336.04133148163,0.0,1.0,0.0,0.0,84904.41588655314
paper4_v4_local_rt0p1725_g0p475_u0p025,optimistic,342,1000000.0,25866.832805683895,174336.04133148163,0.7309941520467836,0.26900584795321636,0.0,0.0,148469.20852579773
