policy_id,scenario,mean_diff_vs_paper1,p05_diff_vs_paper1,p50_diff_vs_paper1,p95_diff_vs_paper1,prob_beats_paper1,cvar90_simulated_loss,n_paths
paper4_v4_local_rt0p1725_g0p475_u0p025,baseline,6432.1597373030645,-43203.06556034903,6042.162909850193,58120.1324167401,0.568,208764.5977002007,250
paper4_v4_local_rt0p1725_g0p475_u0p025,severe,9217.335265489724,-45024.362915204016,8390.783679100336,64258.47080475581,0.6,370969.91784294293,250
paper4_v4_local_rt0p1725_g0p475_u0p050,adverse,6195.859076952645,-46479.28244700561,6619.165360005444,58465.230877520815,0.552,303607.57211255643,250
paper4_v4_local_rt0p1725_g0p475_u0p050,baseline,8353.219158637636,-43575.8739166373,11225.610165890223,62728.27285722536,0.624,209268.16067855776,250
paper4_v4_local_rt0p1725_g0p475_u0p050,severe,10737.796443071657,-39319.01957330137,11585.798512503388,68742.37843379092,0.62,368512.3937589846,250
paper4_v4_local_rt0p1725_g0p475_u0p075,adverse,6497.7773590025,-46667.84842264038,8664.323336221665,60832.08175989212,0.596,297936.48566466215,250
paper4_v4_local_rt0p1725_g0p475_u0p075,baseline,12083.37116123363,-46923.55223234047,14267.02966844642,74104.95125788361,0.648,209561.69788943193,250
paper4_v4_local_rt0p1725_g0p475_u0p075,severe,8912.525332449026,-51615.50147837199,7024.694490259382,62179.25250211987,0.584,364437.77580489183,250
paper4_v4_local_rt0p1725_g0p475_u0p100,adverse,8272.303713545274,-44352.1198220725,4198.104408972584,64706.68965366943,0.576,297199.9447764533,250
paper4_v4_local_rt0p1725_g0p475_u0p100,baseline,11495.128821866709,-46220.979074840354,11917.854072417143,62047.654789614404,0.664,205024.45836759952,250
paper4_v4_local_rt0p1725_g0p475_u0p100,severe,9079.056406512122,-42453.30516756867,9400.364306704625,69378.09980127188,0.58,373123.78128283704,250
paper4_v4_local_rt0p1725_g0p500_u0p000,adverse,11609.050505550438,-41074.84975612473,11173.529999645581,67542.98644917668,0.644,299796.85683274525,250
paper4_v4_local_rt0p1725_g0p500_u0p000,baseline,10777.616114103928,-44015.90040456482,10152.2496906425,68240.79035798913,0.604,205076.6032720138,250
paper4_v4_local_rt0p1725_g0p500_u0p000,severe,11418.067600500479,-44955.843626940965,15464.749308824054,61397.75855622151,0.672,362228.17578216066,250
paper4_v4_local_rt0p1725_g0p500_u0p025,adverse,10570.24965089599,-48741.56316496074,10735.02028350674,64721.66683223523,0.596,283082.91582550463,250
paper4_v4_local_rt0p1725_g0p500_u0p025,baseline,10944.035219047571,-47002.891554225316,10530.31289906268,65198.748446297555,0.64,204843.34256550355,250
paper4_v4_local_rt0p1725_g0p500_u0p025,severe,12738.249941540143,-37416.966297268395,8922.542923505835,65211.98158867244,0.62,361807.40614604636,250
paper4_v4_local_rt0p1725_g0p500_u0p050,adverse,13611.026476325591,-46978.75978599357,13499.465656846914,72040.8647535122,0.676,293977.5376334399,250
paper4_v4_local_rt0p1725_g0p500_u0p050,baseline,13069.547976538162,-47410.370221860365,12147.862411674323,72695.08628825983,0.648,201027.0028322556,250
paper4_v4_local_rt0p1725_g0p500_u0p050,severe,14113.195302772545,-45785.04114381757,13920.582221374169,74242.08010224867,0.648,364099.1006681834,250
paper4_v4_local_rt0p1725_g0p500_u0p075,adverse,12376.183582741598,-37381.41431100919,9739.92404475758,64681.64754347172,0.632,296573.6639612622,250
paper4_v4_local_rt0p1725_g0p500_u0p075,baseline,12061.839806973594,-38890.81309214679,12090.058273265393,62535.179438764695,0.648,199037.6740352743,250
paper4_v4_local_rt0p1725_g0p500_u0p075,severe,11932.880451671908,-47207.41460819711,10596.325530039623,70973.77750781007,0.62,367937.92974182963,250
paper4_v4_local_rt0p1725_g0p500_u0p100,adverse,12922.839382319997,-38297.2599808036,12274.690672993109,75464.8474671046,0.66,299136.4729042055,250
paper4_v4_local_rt0p1725_g0p500_u0p100,baseline,14528.553741648111,-42506.63513636115,15526.640104436827,74529.68092587449,0.664,204395.11965435892,250
paper4_v4_local_rt0p1725_g0p500_u0p100,severe,14067.871125059972,-47292.70258614235,15094.19137045826,73401.40462344704,0.692,368679.60921615304,250
paper4_v4_local_rt0p1750_g0p400_u0p000,adverse,-9532.320935535245,-65329.04087040424,-9340.782293298515,50834.95826651661,0.38,320302.6553110841,250
